Phi	Psi	FWHM	Breadth	Intensity	FWHM	Breadth	Intensity	FWHM	Breadth	Intensity	FWHM	Breadth	Intensity
-135	9.4	3.47	4.12	1404.64	3.77	4.56	1171.76	4.36	5.15	882.07	4.59	5.55	736.27
-135	0	3.38	4	1475.62	3.69	4.33	1199.93	4.3	5.01	834	4.58	5.25	705.68
-135	-7.07	3.34	3.88	1450.81	3.64	4.34	1236.16	4.27	4.78	931.15	4.57	5.14	803.64
-135	-13.6	3.24	3.84	1606.9	3.61	4.21	1347.83	4	4.56	1113.65	4.36	5.05	933.96
-135	-20.13	3.18	3.84	1774.47	3.55	4.19	1530.87	4.03	4.7	1243.82	4.28	4.91	1045.19
-135	-27.2	3.22	3.83	1794.62	3.57	4.12	1538.94	3.98	4.55	1219.42	4.21	4.75	1053.19
-135	-36.6	3.23	3.85	1628.32	3.58	4.14	1362.16	3.87	4.39	1069.01	4.19	4.72	963
-135	36.6	3.13	3.64	1686.24	3.41	4.03	1447.89	3.81	4.44	1181.46	4.11	4.62	1013.79
-135	27.2	3.11	3.57	1885.37	3.32	3.83	1717.22	3.65	4.19	1406.75	3.89	4.43	1218.29
-135	20.13	3.16	3.74	1757.83	3.41	3.93	1609.16	3.8	4.34	1286.85	4.44	4.9	1084.15
-135	13.6	3.27	3.95	1623.5	3.57	4.19	1407.35	4.07	4.73	1106.55	4.46	5.19	953.66
-135	7.07	3.37	3.99	1544.57	3.62	4.15	1317.91	4.26	4.94	972.72	4.52	5.16	811.06
-135	0	3.49	4.08	1499.38	3.86	4.43	1251.77	4.22	4.83	971.36	4.73	5.35	776.85
-135	-9.4	3.55	4.07	1506.55	3.89	4.41	1265.95	4.37	4.83	990.81	4.78	5.4	849.91
-45	9.4	3.55	4.24	1423.59	3.82	4.4	1184.63	4.4	5.15	912.77	4.76	5.47	756.59
-45	0	3.39	3.99	1456.31	3.77	4.46	1195.53	4.26	4.92	893.3	4.55	5.39	733.49
-45	-7.07	3.31	3.89	1499.4	3.58	4.23	1260.69	4.21	4.82	931.96	4.48	5.01	816.76
-45	-13.6	3.28	3.91	1575.41	3.52	4.11	1381.11	4	4.69	1143.37	4.22	4.93	977.26
-45	-20.13	3.19	3.89	1727.17	3.5	4.15	1529.47	3.92	4.65	1257.77	4.32	5.06	1074.31
-45	-27.2	3.21	3.81	1780.6	3.45	3.99	1579.23	3.98	4.53	1224.76	4.26	4.88	1047.55
-45	-36.6	3.16	3.78	1637.25	3.43	4	1414.44	4.01	4.51	1109.45	4.24	4.69	960.78
-45	36.6	3.15	3.69	1723.98	3.38	3.97	1507.09	3.74	4.33	1204.26	4.15	4.83	1048.77
-45	27.2	2.97	3.45	1943.89	3.24	3.67	1712.25	3.75	4.32	1379.04	3.97	4.56	1179.35
-45	20.13	3.09	3.58	1761.02	3.39	3.87	1587.27	3.96	4.5	1340.04	4.38	4.92	1155.9
-45	13.6	3.29	3.9	1623.91	3.55	4.14	1409.44	3.98	4.66	1153.38	4.4	5.11	981.23
-45	7.07	3.38	3.96	1550.13	3.7	4.37	1321.21	4.12	4.77	999.98	4.47	5.22	870.39
-45	0	3.47	4.05	1572.16	3.81	4.41	1292.75	4.3	4.99	974.65	4.69	5.39	809.52
-45	-9.4	3.49	4	1522.76	3.88	4.39	1289.13	4.43	4.94	1017.76	4.72	5.35	899.42
0	9.4	3.5	4.16	1473.26	3.82	4.55	1248.57	4.37	4.95	927.13	4.63	5.46	752.15
0	0	3.42	4.06	1492.41	3.67	4.3	1207.69	4.21	4.85	899.02	4.68	5.48	725.46
0	-7.07	3.28	3.88	1559.71	3.65	4.23	1313.17	4.24	4.83	948.9	4.51	5.16	754.96
0	-13.6	3.28	3.93	1674.11	3.61	4.24	1478.82	4.11	4.74	1149.19	4.55	5.21	904.6
0	-20.13	3.14	3.84	1849.15	3.38	4.09	1751.87	3.87	4.55	1558.55	4.25	4.87	1358.62
0	-27.2	3.1	3.64	1883.78	3.4	3.9	1812.57	3.74	4.28	1862.75	4.05	4.62	1837.99
0	-36.6	3.31	3.85	1625.85	3.6	4.11	1480.12	3.92	4.45	1320.56	4.3	4.82	1160.38
0	36.6	3.12	3.7	1715.52	3.37	3.98	1626.13	3.78	4.42	1494.01	4.2	4.79	1338.78
0	27.2	3.04	3.59	1959.08	3.16	3.69	1957.85	3.57	4.15	1956.74	3.77	4.28	1935.75
0	20.13	3.1	3.67	1915.74	3.36	3.89	1743.98	3.79	4.29	1520.33	4.17	4.73	1277.71
0	13.6	3.21	3.91	1775.97	3.52	4.12	1533.74	4.17	4.82	1177.61	4.6	5.28	936.63
0	7.07	3.31	3.91	1624.08	3.65	4.2	1376.16	4.25	4.85	1059.5	4.51	5.15	875.69
0	0	3.45	4	1509.71	3.87	4.45	1247.85	4.35	5.02	953.4	4.76	5.44	795.58
0	-9.4	3.52	4.2	1575.87	3.8	4.42	1351.13	4.39	4.86	1056.54	4.73	5.18	831.09
90	9.4	3.49	4.1	1371.63	3.79	4.48	1132.86	4.41	5.12	883.29	4.67	5.39	749.78
90	0	3.38	4.04	1457.65	3.65	4.29	1185.46	4.27	4.95	864.13	4.61	5.38	722.54
90	-7.07	3.3	3.92	1395.4	3.66	4.28	1172.26	4.16	4.82	911.37	4.63	5.17	793.51
90	-13.6	3.25	3.9	1412.93	3.53	4.21	1219.84	4.12	4.74	1048.21	4.4	4.97	986.91
90	-20.13	3.25	3.88	1500.99	3.56	4.23	1376.13	3.93	4.68	1314.75	4.25	5.01	1235.16
90	-27.2	3.15	3.76	1705.7	3.47	4.07	1560.02	3.82	4.48	1497.89	4.11	4.69	1438.37
90	-36.6	3.02	3.64	1758.22	3.29	3.85	1616.21	3.78	4.33	1464.3	3.96	4.51	1369.85
90	36.6	2.96	3.48	1840.27	3.3	3.87	1686.92	3.64	4.21	1591.52	3.88	4.52	1489.21
90	27.2	3.05	3.55	1780.43	3.33	3.9	1679.59	3.56	4.17	1648.17	3.89	4.44	1546.49
90	20.13	3.24	3.78	1569.88	3.5	4.11	1457.66	3.87	4.38	1380.92	4.18	4.74	1303.44
90	13.6	3.28	3.91	1458.44	3.46	4.23	1314.89	4.05	4.84	1123.6	4.4	5.06	1046.59
90	7.07	3.38	3.95	1459.42	3.71	4.36	1259.54	4.29	4.93	986.76	4.45	5.22	857.46
90	0	3.45	4.04	1524.74	3.78	4.34	1233.89	4.36	4.92	941.08	4.67	5.26	778.13
90	-9.4	3.51	4.02	1449.68	3.88	4.46	1207.23	4.48	4.98	945.19	4.88	5.41	867.83
