Phi	Psi	FWHM	Breadth	Intensity	FWHM	Breadth	Intensity	FWHM	Breadth	Intensity	FWHM	Breadth	Intensity	FWHM	Breadth	Intensity
-135	9.4	3.51	4.05	1214.99	3.79	4.31	1019.44	4.25	4.9	822.17	4.72	5.24	677.15	4.91	5.11	625.88
-135	0	3.44	3.96	1251.06	3.66	4.19	1069.27	4.26	4.84	800.48	4.54	4.92	645.14	4.81	5.31	559.76
-135	-7.07	3.26	3.77	1252.93	3.67	4.18	1056.79	4.08	4.73	874.44	4.46	5.02	725.77	4.73	5.31	683.4
-135	-13.6	3.29	3.82	1220.06	3.57	4.14	1033.53	4.09	4.57	817.73	4.33	4.85	716.53	4.7	5.15	637.76
-135	-20.13	3.18	3.71	1347.63	3.54	4.11	1112.09	4.13	4.59	846.25	4.31	4.75	709.26	4.53	5.07	631.08
-135	-27.2	3.14	3.72	1478.01	3.36	3.91	1270.05	3.93	4.44	1000.88	4.28	4.77	810.54	4.49	4.99	717.27
-135	-36.6	3.22	3.8	1347.39	3.45	4.04	1216.29	3.97	4.5	1051.18	4.36	4.9	898.95	4.59	5.05	844.7
-135	36.6	3.05	3.51	1424.83	3.27	3.73	1297.89	3.54	3.97	1131.71	3.86	4.21	949.22	4.12	4.58	861.21
-135	27.2	3.07	3.47	1451.34	3.48	3.92	1241.69	3.89	4.3	979.11	4.15	4.41	817.46	4.31	4.56	742.53
-135	20.13	3.04	3.44	1364.1	3.3	3.72	1146.51	3.76	4.19	948.72	4.06	4.45	787.04	4.46	4.86	719.19
-135	13.6	3.24	3.87	1338.26	3.53	4.1	1166.83	3.88	4.54	955.24	4.21	4.82	848.83	4.5	5.09	780.66
-135	7.07	3.29	3.86	1341.39	3.49	4.02	1176.66	4.05	4.7	945.9	4.51	5.14	805.73	4.64	5.26	710.85
-135	0	3.38	3.85	1321.65	3.6	4	1098.65	4.37	4.69	876.55	4.73	5.07	716.98	5.21	5.45	647.41
-135	-9.4	3.52	4.07	1292.07	3.84	4.4	1092.17	4.32	4.8	911.77	4.54	5.1	819.44	4.86	5.35	746.85
-45	9.4	3.62	4.17	1333.96	3.77	4.3	1182.48	4.32	4.88	938.67	4.65	5.09	795.28	5.01	5.49	721.18
-45	0	3.42	3.93	1418.18	3.67	4.14	1203.21	4.28	4.74	915.43	4.66	5.08	712.99	4.81	5.14	634.57
-45	-7.07	3.35	3.92	1394.81	3.56	4.09	1242.32	4.09	4.6	986.4	4.37	4.98	830.42	4.92	5.43	717.06
-45	-13.6	3.28	3.79	1407.19	3.66	4.07	1232.26	4.02	4.39	1013.99	4.4	4.89	869.76	4.69	5.27	808.56
-45	-20.13	3.26	3.83	1498.78	3.57	4.15	1302.48	4.15	4.79	1024.39	4.45	4.86	864.9	4.71	5.09	762.27
-45	-27.2	3.18	3.87	1687.57	3.39	4.04	1488.14	3.95	4.52	1124.98	4.23	4.69	939.77	4.44	4.87	837.48
-45	-36.6	3.22	3.75	1673.18	3.58	4.16	1498.95	4.09	4.61	1229.36	4.52	4.91	1036.99	4.77	5.24	919.28
-45	36.6	2.96	3.4	1689.03	3.23	3.61	1471.87	3.67	4.07	1216.8	3.96	4.39	980.53	4.21	4.47	900.12
-45	27.2	3.02	3.42	1746.07	3.41	3.81	1453.35	3.87	4.27	1127.97	4.18	4.58	971.98	4.1	4.38	891.5
-45	20.13	2.97	3.41	1617.72	3.37	3.78	1340.98	3.7	4.14	1081.51	4.05	4.43	946.93	4.45	4.94	880.96
-45	13.6	3.16	3.74	1531.41	3.45	3.98	1323.02	3.99	4.7	1112.64	4.28	4.93	954.85	4.6	5.22	909.09
-45	7.07	3.23	3.82	1510.9	3.53	4.1	1351.25	3.99	4.57	1120.92	4.44	5.09	933.52	4.63	5.22	835.47
-45	0	3.28	3.76	1558.31	3.55	4	1334.62	4.12	4.57	1019.17	4.63	5.08	842.4	4.93	5.4	711.21
-45	-9.4	3.56	4.13	1457.54	3.8	4.28	1266.26	4.19	4.73	1100.51	4.69	5.19	935.87	4.9	5.39	867.07
0	9.4	3.59	4.2	1340.23	3.79	4.33	1175.51	4.26	4.79	995.16	4.68	5.23	840.97	5.05	5.36	784.99
0	0	3.46	4.01	1435.16	3.76	4.26	1208.78	4.29	4.78	963.32	4.64	5.02	787.41	4.93	5.29	652.79
0	-7.07	3.37	3.96	1416.38	3.59	4.15	1230.12	4.03	4.52	1005.43	4.41	5	883.84	4.67	5.11	814.17
0	-13.6	3.28	3.73	1305.35	3.63	4.12	1118.37	4.21	4.7	870.57	4.43	4.85	750.54	4.6	4.97	678.34
0	-20.13	3.19	3.67	1362.91	3.57	4.07	1191.07	4.17	4.61	992.7	4.6	4.96	865.24	4.85	5.06	757.44
0	-27.2	3.13	3.7	1563.26	3.39	3.97	1449.6	3.84	4.36	1349.91	4.35	4.92	1258.38	4.63	5.07	1165.34
0	-36.6	3.33	3.84	1326.36	3.65	4.13	1084.66	4.15	4.45	776.33	4.57	4.83	578.87	4.59	4.73	420.08
0	36.6	3.21	3.71	1381.27	3.37	3.77	1160.45	3.96	4.2	819.45	3.99	4.25	654.26	3.17	4.29	544.44
0	27.2	3.04	3.5	1639	3.28	3.74	1548.75	3.75	4.18	1435.6	4.03	4.49	1322.8	4.39	4.73	1205.93
0	20.13	3.05	3.5	1450.78	3.3	3.76	1281.98	3.61	4.04	1089.44	3.9	4.32	949.61	4.16	4.62	795.52
0	13.6	3.2	3.79	1354.73	3.46	4.02	1218.3	4.01	4.6	970.36	4.15	4.8	853.02	4.5	5.2	808.4
0	7.07	3.23	3.85	1470.21	3.56	4.18	1323.21	3.98	4.51	1125.73	4.26	4.83	1004.38	4.47	5.1	919.4
0	0	3.29	3.71	1508.25	3.56	4	1327.47	4.14	4.67	1057.81	4.57	5.11	864.78	4.77	5.08	735.85
0	-9.4	3.4	3.92	1444.28	3.7	4.19	1288.52	4.12	4.57	1089.95	4.55	5.03	980	4.77	5.39	919.08
90	9.4	3.51	4.09	1403.74	3.85	4.39	1208.79	4.44	4.99	939.92	4.8	5.27	784.98	4.89	5.29	690.33
90	0	3.43	3.92	1394.77	3.74	4.27	1197.97	4.21	4.76	932.61	4.64	5.16	750.86	4.72	5.15	641.46
90	-7.07	3.35	3.92	1421.51	3.69	4.25	1217.54	4.18	4.8	957.94	4.54	4.98	796.91	5	5.31	646.44
90	-13.6	3.34	3.84	1469.41	3.68	4.19	1276.42	4.22	4.76	998.58	4.71	5.2	814.07	4.7	5.24	715.77
90	-20.13	3.35	3.93	1525.85	3.59	4.12	1353.36	4.35	4.77	1032.66	4.65	5.15	848.44	5.02	5.47	728.65
90	-27.2	3.21	3.82	1539.79	3.65	4.27	1336.06	4.15	4.67	1084.05	4.34	4.84	911.45	4.84	5.41	758.59
90	-36.6	3.24	3.8	1426.77	3.72	4.27	1253.92	4.14	4.68	1008.5	4.71	5.25	812.2	4.89	5.31	692.54
90	36.6	3.09	3.65	1605.99	3.29	3.78	1412.86	3.91	4.33	1162.15	4.29	4.75	988.59	4.75	5.21	877.52
90	27.2	3.12	3.59	1698.17	3.42	3.98	1521.66	3.98	4.45	1220.53	4.21	4.76	1049.88	4.51	4.91	900.43
90	20.13	3.05	3.55	1681.24	3.48	4.03	1503.65	3.93	4.45	1174.55	4.33	4.81	1024.87	4.59	4.83	859.91
90	13.6	3.21	3.72	1593.38	3.57	4.2	1392.01	3.91	4.57	1105.35	4.51	5.2	934.87	4.56	5.22	833.79
90	7.07	3.24	3.79	1547.23	3.39	3.96	1344.89	4.18	4.82	1044.1	4.44	5.02	885.91	4.91	5.56	762.97
90	0	3.34	3.8	1500.16	3.56	3.99	1303.51	4.14	4.57	1011.63	4.58	5.03	833.31	4.75	5.2	727.57
90	-9.4	3.47	3.97	1452.98	3.82	4.37	1272.05	4.34	4.81	1004.8	4.56	5.04	820.78	4.88	5.35	738.22
